Date,Open,High,Low,Close,Adj Close,Volume
2023-09-04,0.240700,0.243300,0.220200,0.229600,0.229600,23225882
2023-09-05,0.229600,0.229600,0.219900,0.220000,0.220000,6894422
2023-09-06,0.218300,0.227200,0.216000,0.218200,0.218200,11162507
2023-09-07,0.218900,0.224500,0.213200,0.215500,0.215500,9048094
2023-09-08,0.215600,0.219200,0.212600,0.213400,0.213400,6611690
2023-09-11,0.220000,0.220000,0.210500,0.211900,0.211900,4693564
2023-09-12,0.211200,0.213400,0.197600,0.201100,0.201100,14820649
2023-09-13,0.201100,0.201200,0.193900,0.194100,0.194100,6631271
2023-09-14,0.195800,0.201200,0.193800,0.195700,0.195700,7784594
2023-09-15,0.200000,0.200000,0.192700,0.192700,0.192700,5314317
2023-09-18,0.195700,0.195700,0.189800,0.190500,0.190500,6632735
2023-09-19,0.190000,0.192600,0.188000,0.190000,0.190000,3864427
2023-09-20,0.189900,0.190000,0.184600,0.188200,0.188200,6263362
2023-09-21,0.188700,0.191800,0.178400,0.184700,0.184700,10451823
2023-09-22,0.190200,0.190200,0.180400,0.185100,0.185100,6940988
2023-09-25,0.185000,0.203000,0.182600,0.192200,0.192200,16123555
2023-09-26,0.192200,0.193000,0.167500,0.179000,0.179000,19537563
2023-09-27,0.175000,0.176400,0.155000,0.161600,0.161600,30661659
2023-09-28,0.161600,0.170000,0.157000,0.170000,0.170000,13776158
2023-09-29,0.178500,0.178900,0.164800,0.169500,0.169500,24617087
2023-10-02,0.174700,0.184400,0.170700,0.178000,0.178000,18257931
2023-10-03,0.188100,0.258300,0.179000,0.206600,0.206600,147968940
2023-10-04,0.006200,0.049800,0.006200,0.029000,0.029000,671572310
2023-10-05,0.030000,0.033100,0.022800,0.023600,0.023600,196852474
2023-10-06,0.022200,0.022800,0.017800,0.018900,0.018900,87253032
2023-10-09,0.018600,0.018900,0.014600,0.018000,0.018000,94507085
2023-10-10,0.018300,0.036100,0.018100,0.026500,0.026500,290492802
2023-10-11,0.026600,0.040000,0.026600,0.032000,0.032000,254424125
2023-10-12,0.032200,0.038600,0.032200,0.037000,0.037000,257462575
2023-10-13,0.037100,0.048500,0.037100,0.044000,0.044000,194729624
2023-10-16,0.044800,0.051000,0.040000,0.041800,0.041800,131964447
2023-10-17,0.044100,0.046100,0.033700,0.035400,0.035400,151086747
2023-10-18,0.032500,0.035700,0.027800,0.033000,0.033000,81963010
2023-10-19,0.032900,0.039300,0.029600,0.035000,0.035000,64890960
2023-10-20,0.035000,0.038900,0.033900,0.034900,0.034900,42443591
2023-10-23,0.034900,0.034900,0.028900,0.031000,0.031000,85626816
2023-10-24,0.030200,0.033200,0.029000,0.029600,0.029600,45113752
2023-10-25,0.028700,0.030700,0.027100,0.028100,0.028100,58428836
2023-10-26,0.027000,0.028100,0.022800,0.024000,0.024000,85531971
2023-10-27,0.023300,0.031000,0.020900,0.029800,0.029800,61524630
2023-10-30,0.029800,0.034200,0.028900,0.031100,0.031100,47187870
2023-10-31,0.031100,0.033100,0.029600,0.031000,0.031000,28690076
2023-11-01,0.030000,0.030900,0.028300,0.028700,0.028700,20797340
2023-11-02,0.027500,0.028900,0.026900,0.027100,0.027100,12519364
2023-11-03,0.026700,0.029900,0.025100,0.026900,0.026900,16457749
2023-11-06,0.026700,0.028200,0.025500,0.027000,0.027000,18255162
2023-11-07,0.027000,0.027000,0.025100,0.026200,0.026200,3457873
2023-11-08,0.026200,0.027000,0.024000,0.026700,0.026700,6815472
2023-11-09,0.026200,0.026600,0.025100,0.025400,0.025400,10941487
2023-11-10,0.025000,0.025400,0.024200,0.025400,0.025400,7077372
2023-11-13,0.025400,0.025400,0.023800,0.024200,0.024200,8309303
2023-11-14,0.024400,0.024600,0.023000,0.023100,0.023100,7128091
2023-11-15,0.023400,0.030600,0.023400,0.025500,0.025500,62024433
2023-11-16,0.023300,0.025300,0.023300,0.024400,0.024400,3627095
2023-11-17,0.024000,0.025100,0.024000,0.024100,0.024100,5389343
2023-11-20,0.024000,0.025200,0.023800,0.024600,0.024600,4391085
