,Date,SP500 - Price,SP500 - Log-Return,squared_log_ret
"109-1",1950-06-09,19.260000000000002,0.0062500725917766786,3.9063407402478047e-05
"110-1",1950-06-12,19.399999999999999,0.0072426596993029335,5.2456119519906857e-05
"111-1",1950-06-13,19.25,-0.0077620053354889862,6.024872682815949e-05
"112-1",1950-06-14,18.98,-0.0141252675520116,0.00019952318341591178
"113-1",1950-06-15,18.93,-0.002637827960550343,6.9581363494611814e-06
"114-1",1950-06-16,18.969999000000001,0.0021107660108774517,4.4553331526755108e-06
"115-1",1950-06-19,18.920000000000002,-0.0026391676083763471,6.9652056651029276e-06
"116-1",1950-06-20,18.829999999999998,-0.0047682209546713317,2.2735931072566785e-05
"117-1",1950-06-21,19,0.0089876364973791034,8.0777609809020923e-05
"118-1",1950-06-22,19.16,0.0083857933762740977,7.0321530549562528e-05
"119-1",1950-06-23,19.139999,-0.0010444387645116571,1.0908523328146366e-06
"120-1",1950-06-26,18.110001,-0.055316006664770434,0.0030598605933369271
"121-1",1950-06-27,17.91,-0.011105111040811799,0.00012332349122876011
"122-1",1950-06-28,18.110001,0.011105111040811799,0.00012332349122876011
"123-1",1950-06-29,17.440000999999999,-0.03769785129315073,0.0014211279921205063
"124-1",1950-06-30,17.690000999999999,0.014233088880523326,0.00020258081908087675
"125-1",1950-07-03,17.639999,-0.0028305708115037298,8.012131118936884e-06
"126-1",1950-07-05,17.809999000000001,0.0095910472640361455,9.1988187620975235e-05
"127-1",1950-07-06,17.91,0.0055991749192831897,3.1350759776729917e-05
"128-1",1950-07-07,17.670000000000002,-0.01349092974101529,0.00018200518527701086
"129-1",1950-07-10,17.59,-0.004537727582138551,2.059097160970098e-05
"130-1",1950-07-11,17.32,-0.015468655615177518,0.00023927930654096295
"131-1",1950-07-12,16.870000999999998,-0.02632494729959145,0.00069300285032626715
"132-1",1950-07-13,16.690000999999999,-0.010727158244838275,0.00011507192400980179
"133-1",1950-07-14,16.870000999999998,0.010727158244838275,0.00011507192400980179
"134-1",1950-07-17,16.68,-0.011326558904097173,0.00012829093660798294
"135-1",1950-07-18,17.059999000000001,0.022526086516283961,0.00050742457373911007
"136-1",1950-07-19,17.360001,0.017432283389004599,0.00030388450415456568
"137-1",1950-07-20,17.610001,0.014298212458141446,0.00020443887949815127
"138-1",1950-07-21,17.59,-0.0011364205445638653,1.2914516541068322e-06
"139-1",1950-07-24,17.48,-0.0062731885220772554,3.9352894233521818e-05
"140-1",1950-07-25,17.23,-0.014405319687551099,0.00020751323530054729
"141-1",1950-07-26,17.27,0.0023188416187487348,5.377026452841253e-06
"142-1",1950-07-27,17.5,0.013229988770881551,0.00017503260287765195
"143-1",1950-07-28,17.690000999999999,0.010798683771336304,0.00011661157119332205
"144-1",1950-07-31,17.84,0.0084435624510583729,7.1293746864922877e-05
"145-1",1950-08-01,18.02,0.010039125028328488,0.00010078403133441147
"146-1",1950-08-02,17.950001,-0.0038920815355991678,1.5148298679751977e-05
"147-1",1950-08-03,17.989999999999998,0.0022258773178491786,4.9545298341154533e-06
"148-1",1950-08-04,18.139999,0.0083033415977555869,6.8945481689018301e-05
"149-1",1950-08-07,18.41,0.014774605684789055,0.00021828897314100107
"150-1",1950-08-08,18.459999,0.002712179658537206,7.3559185001829955e-06
"151-1",1950-08-09,18.610001,0.0080929494851855743,6.5495831369765452e-05
"152-1",1950-08-10,18.48,-0.0070100581751710855,4.9140915619282969e-05
"153-1",1950-08-11,18.280000999999999,-0.010881445482940677,0.00011840585579821006
"154-1",1950-08-14,18.290001,0.00054689634686111432,2.990956142100323e-07
"155-1",1950-08-15,18.32,0.0016388421685258336,2.6858036533384568e-06
"156-1",1950-08-16,18.34,0.0010911075823343275,1.1905157562274612e-06
"157-1",1950-08-17,18.540001,0.010846147246821758,0.0001176389100997392
"158-1",1950-08-18,18.68,0.0075228187255560464,5.6592801577576697e-05
"159-1",1950-08-21,18.700001,0.0010701445357788053,1.1452093274572346e-06
"160-1",1950-08-22,18.68,-0.0010701445357788053,1.1452093274572346e-06
"161-1",1950-08-23,18.82,0.0074667013565372642,5.575162914771542e-05
"162-1",1950-08-24,18.790001,-0.001595267512063625,2.544878435045668e-06
"163-1",1950-08-25,18.540001,-0.013394252570029686,0.00017940600190974684
"164-1",1950-08-28,18.530000999999999,-0.00053951981133293359,2.9108162682072427e-07
"165-1",1950-08-29,18.540001,0.00053951981133293359,2.9108162682072427e-07
"166-1",1950-08-30,18.43,-0.0059508423934087062,3.5412525191190259e-05
"167-1",1950-08-31,18.420000000000002,-0.00054274085457084453,2.9456763522029063e-07
"168-1",1950-09-01,18.549999,0.0070327043179259086,4.9458930023373715e-05
"169-1",1950-09-05,18.68,0.0069836976556096886,4.8772032944968259e-05
"170-1",1950-09-06,18.540001,-0.0075228187255560464,5.6592801577576697e-05
"171-1",1950-09-07,18.59,0.0026931876582123593,7.2532597623473716e-06
"172-1",1950-09-08,18.75,0.0085699506830669847,7.3444054710200275e-05
"173-1",1950-09-11,18.610001,-0.0074946280277106148,5.6169449273745502e-05
"174-1",1950-09-12,18.870000999999998,0.013874287985919054,0.0001924958671162178
"175-1",1950-09-13,19.09,0.011591225363027924,0.00013435650541650184
"176-1",1950-09-14,19.18,0.0047034317176359863,2.2122269922464204e-05
"177-1",1950-09-15,19.290001,0.0057188093026758757,3.2704779840372139e-05
"178-1",1950-09-18,19.370000999999998,0.0041386502871612052,1.7128426199419526e-05
"179-1",1950-09-19,19.309999000000001,-0.0031024843913463052,9.6254093985474541e-06
"180-1",1950-09-20,19.209999,-0.005192119929539718,2.6958109362723526e-05
"181-1",1950-09-21,19.370000999999998,0.0082946043208860232,6.880046084006109e-05
"182-1",1950-09-22,19.440000999999999,0.0036073214274914278,1.3012767881238792e-05
"183-1",1950-09-25,19.420000000000002,-0.0010293876094418231,1.0596388504723512e-06
"184-1",1950-09-26,19.139999,-0.014523129084976105,0.00021092127841887889
"185-1",1950-09-27,19.41,0.014008063402715987,0.00019622584029451099
"186-1",1950-09-28,19.420000000000002,0.00051506568226011851,2.6529265704208136e-07
"187-1",1950-09-29,19.450001,0.0015436586151569287,2.3828819201482068e-06
"188-1",1950-10-02,19.690000999999999,0.012263821959898724,0.00015040132906409418
